title,description,rating,travel_date,review_date
Very good service,The person I spoke to was very helpful and thorough.,5,Date of experience: 05 July 2024,5 Jul 2024
Answered my query I had about my Pension Payments,Answered my query I had about my Pension payments expertly,5,Date of experience: 05 July 2024,5 Jul 2024
I really enjoy the way my questions…,I really enjoy the way my questions were answered,5,Date of experience: 05 July 2024,5 Jul 2024
Great,It was clear and guided me well,5,Date of experience: 04 July 2024,4 Jul 2024
Great start.,Efficient and helpful getting going.,5,Date of experience: 03 July 2024,4 Jul 2024
easy to connect and great customer…,easy to connect and great customer service.,5,Date of experience: 04 July 2024,4 Jul 2024
Straightforward,"Was easy: officer was helpful, clear and everything was straightforward.",4,Date of experience: 02 July 2024,4 Jul 2024
Telephone call,Very friendly manner. Helpful,5,Date of experience: 04 July 2024,4 Jul 2024
Great support and help.,Date of experience: 03 July 2024,5,Date of experience: 03 July 2024,3 Jul 2024
Patient,"Patient, friendly,  helpful,  calm I spoke to Barney",5,Date of experience: 03 July 2024,3 Jul 2024
"Agent pleasant, kind, professional","Agent pleasant, kind , patient and very professional . Thank you Amal 😊",5,Date of experience: 03 July 2024,3 Jul 2024
Amazingly kind patient and very helpful,Amazingly kind patient and very helpful Thank you so very much. Competent and knowledgeable. My query was solved very quickly.Thank youJulie Wing,5,Date of experience: 03 July 2024,3 Jul 2024
Awesome service,My call was transferred to the right department. I got to speak to Natasha and she was really lovely and helpful.,5,Date of experience: 02 July 2024,2 Jul 2024
Great cordial and prompt handling of…,Great cordial and prompt handling of request.,5,Date of experience: 02 July 2024,2 Jul 2024
Every time i pound workwell too…,Every time i pound workwell too supportive and humple. Really appreciated and satisfied thank you,5,Date of experience: 02 July 2024,2 Jul 2024
Very happy with my handler…,Jamal was very clear and concise with the information he provided me to help me re-open my account. Great service!,5,Date of experience: 02 July 2024,2 Jul 2024
Clear explanations and plenty of time…,Clear explanations and plenty of time to ask questions.Follow up emails were useful too.,5,Date of experience: 02 July 2024,2 Jul 2024
Barney T was a great help,"Barney T was very knowledgeable about my concern, talked me through it in a way I could understand and then was really helpful with a solution.",5,Date of experience: 02 July 2024,2 Jul 2024
Excellent service,Patrick was professional and friendly. Everything was clearly explained and he ensured I understood.,5,Date of experience: 02 July 2024,2 Jul 2024
Really easy to register,"Really easy to register, workwell colleague very knowledgeable and clearly described service you provide, all completed on a few minutes, very impressed!",5,Date of experience: 02 July 2024,2 Jul 2024
Sorted out my issues swiftly!,Date of experience: 01 July 2024,5,Date of experience: 01 July 2024,1 Jul 2024
Very pleasant operative,"Very pleasant operative, that was able to respond to any queries I had with returning to this umbrella company",5,Date of experience: 01 July 2024,1 Jul 2024
Natasha.,Natasha.. might be new to the team. And I have to say she’s the most welcoming customer service. Great listener and answers the queries well. Thanks for making my day,5,Date of experience: 01 July 2024,1 Jul 2024
Great service from Daniel,I spoke to Daniel today who carefully checked my details and promised to look into my query and call me back within 5 minutes.That’s exactly what happened. Daniel was true to his word and called me back with the information I required.These days it is rare for someone to deliver on their promises so I am thankful to Daniel for his great service.,5,Date of experience: 01 July 2024,1 Jul 2024
Jamal who answered my call was very…,Jamal who answered my call was very efficient and helpful and appeared to resolve my problem.,5,Date of experience: 01 July 2024,1 Jul 2024
Very helpful and curt,Very helpful and curt,5,Date of experience: 01 July 2024,1 Jul 2024
Was great,Was great. My English is not good but this person was very patient and helpful. He explained everything I need to now very clear.,5,Date of experience: 01 July 2024,1 Jul 2024
Change of bank details,"Agent was polite and resolved my request efficiently. He also helped looked into the unnecessary email I was getting. All in all, I am very happy with service",5,Date of experience: 28 June 2024,29 Jun 2024
Issues dealt with swiftly and professionally,Took the time to listen carefully to my enquiry and given that it was very time critical dealt with my issue and resolved it to my satisfaction.,5,Date of experience: 28 June 2024,28 Jun 2024
It’s a rip off,It’s a rip off. They use every chance they get to take your money and then you have to call them time and again asking to give your own money back. It’s shame.,1,Date of experience: 28 June 2024,28 Jun 2024
Very friendly and helpful,"Very friendly and helpful, resolved my queries, so I’m much happier.",5,Date of experience: 28 June 2024,28 Jun 2024
Polite and efficient agent,Date of experience: 28 June 2024,5,Date of experience: 28 June 2024,28 Jun 2024
Preeya.P she was great and helped me…,Preeya.P she was great and helped me with my issue really well.,5,Date of experience: 28 June 2024,28 Jun 2024
"Friendly, patient and helpful","Nataasha C was wonderfully patient and super helpful, she answered all my questions and helped me resolve the problem.",5,Date of experience: 28 June 2024,28 Jun 2024
Managed and resolved the query…,Managed and resolved the query efficiently,5,Date of experience: 28 June 2024,28 Jun 2024
"You have a useless application, you are wasting my time, I tried 100 times to download my photo documents and I did not succeed, I have many friends who I will tell them not to work with you. You are","You have a useless application, you are wasting my time, I tried 100 times to download my photo documents and I did not succeed, I have many friends who I will tell them not to work with you. You are 0",1,Date of experience: 28 June 2024,28 Jun 2024
Barney answered my query immediately,Barney answered my query immediately. Professional and courteous.,5,Date of experience: 28 June 2024,28 Jun 2024
I think,"I think, the person responded to my enquiry and give reassurance that the would be resolved.",4,Date of experience: 27 June 2024,27 Jun 2024
Lewis  as very kind a helpful I can tell…,Lewis was very kind and helpful I can tell he’s a good person give him a raise Lool,5,Date of experience: 27 June 2024,27 Jun 2024
Barney T was very helpful and helped…,Barney T was very helpful and helped with my inquiry,5,Date of experience: 27 June 2024,27 Jun 2024
Great service from Barney,"Friendly, knowledgable support providing a quick and efficient response",5,Date of experience: 27 June 2024,27 Jun 2024
Outstanding support!!,Barney was helpful and provided concise answers quickly. Very friendly and provided outstanding support in a professional manner.,5,Date of experience: 27 June 2024,27 Jun 2024
Prompt response to my query for contract,Prompt response to my query to send my job contract. Excellent service from Barney.,5,Date of experience: 26 June 2024,26 Jun 2024
Natasha,"Natasha, the advisor I spoke to this tea time was v friendly, professional, polite and helpful.",5,Date of experience: 26 June 2024,26 Jun 2024
Took her time to find out the answer to…,"Took her time to find out the answer to my question , thank you natasha",5,Date of experience: 26 June 2024,26 Jun 2024
It provided me with a clearer and…,It provided me with a clearer and better understanding of how my tax is been deducted,5,Date of experience: 26 June 2024,26 Jun 2024
Thank you,"Thank you, Preeya P for taking your time to give explicit explanation to my request.",5,Date of experience: 26 June 2024,26 Jun 2024
The customer service was so good and…,The customer service was so good and quick that my request was considered quickly. Extremely satisfied.,5,Date of experience: 26 June 2024,26 Jun 2024
It was straight forward and ok,Date of experience: 26 June 2024,4,Date of experience: 26 June 2024,26 Jun 2024
Great customer service to be honest,"Great customer service to be honest, guided through the call and processes. Thanks Jamal",5,Date of experience: 26 June 2024,26 Jun 2024
High quality of service,"The staff, George P, is patient and helpful. The instructions are clear. Really appreciate his service",5,Date of experience: 25 June 2024,25 Jun 2024
clear explanation of their services,Date of experience: 25 June 2024,5,Date of experience: 25 June 2024,25 Jun 2024
About terms and conditions clearly,Explaining everything clearly,5,Date of experience: 25 June 2024,25 Jun 2024
Quick guidance,HiI got the answers of my queries in no-time. The executive was clear on the process and company policy. Thanks!,4,Date of experience: 25 June 2024,25 Jun 2024
Postcode Error rectified.,"Daniel was very efficient in realising that someone had entered my postcode and address incorrectly, and for putting the correct details in for me. Excellent!",5,Date of experience: 25 June 2024,25 Jun 2024
"Kind, helpful person",Very helpful explained everything in detail.,5,Date of experience: 25 June 2024,25 Jun 2024
Very agile and easy to deal with,Date of experience: 20 June 2024,5,Date of experience: 20 June 2024,25 Jun 2024
Terrible,"Terrible, I just want to get paid for the work, not deal with all this intimidating gibberish",1,Date of experience: 24 June 2024,25 Jun 2024
Quick service,"Helpful, quick and professional service",5,Date of experience: 18 June 2024,24 Jun 2024
Very courteous and professional,Very courteous and professional,5,Date of experience: 24 June 2024,24 Jun 2024
Everything I needed was handled quickly…,Everything I needed was handled quickly and professionally.,5,Date of experience: 24 June 2024,24 Jun 2024
Very soft guy with exceptional customer care skills,Explicit at providing details in the course of the conversation.,5,Date of experience: 24 June 2024,24 Jun 2024
Very supportive!,My query was handled in a very helpful manner by Lewis R. I was reassured and informed in a detailed way.,5,Date of experience: 21 June 2024,22 Jun 2024
Daniel was polite enough to answer my…,Daniel was polite enough to answer my queries,5,Date of experience: 22 June 2024,22 Jun 2024
Payslip Issue,I was very pleased with the way my concern was dealt with professionally with an excellent follow up.,5,Date of experience: 20 June 2024,22 Jun 2024
Incredible people,"Incredible people, especially Garry. Such a helpful kind person.",5,Date of experience: 21 June 2024,21 Jun 2024
very patient and explanatory,Date of experience: 21 June 2024,5,Date of experience: 21 June 2024,21 Jun 2024
Nice and easy to get onboard,"Nice and easy to get onboard with Patrick, simple enough, and nice quick response.",5,Date of experience: 21 June 2024,21 Jun 2024
Great experience,Great experience,5,Date of experience: 21 June 2024,21 Jun 2024
Absolute Best,"He was clear, patient and detailed. Didn't miss a beat and wasn't in a hurry. The best!",5,Date of experience: 21 June 2024,21 Jun 2024
Great fast service,Date of experience: 21 June 2024,5,Date of experience: 21 June 2024,21 Jun 2024
Amazing service,Date of experience: 20 June 2024,5,Date of experience: 20 June 2024,20 Jun 2024
Very helpful,Very helpful,5,Date of experience: 20 June 2024,20 Jun 2024
Professional,Staff was very polite and took time to explain the answers to me,5,Date of experience: 20 June 2024,20 Jun 2024
Really helpful and lovely staff,Date of experience: 20 June 2024,5,Date of experience: 20 June 2024,20 Jun 2024
george was brilliant,Date of experience: 20 June 2024,5,Date of experience: 20 June 2024,20 Jun 2024
Calm & patient manner in which my query…,Calm & patient manner in which my query was handled.,5,Date of experience: 20 June 2024,20 Jun 2024
Good communication and clear response…,Good communication and clear response able to answer my query.,5,Date of experience: 19 June 2024,19 Jun 2024
It great to work with workwell,It great to work with workwell. Workwell is a team of professionals and helping.,5,Date of experience: 19 June 2024,19 Jun 2024
Advisor spoke clearly and was very…,Advisor spoke clearly and was very helpful.,5,Date of experience: 19 June 2024,19 Jun 2024
Very helpful and friendly,Very helpful and friendly,5,Date of experience: 19 June 2024,19 Jun 2024
Natasha answered the call immediately…,Natasha answered the call immediately and was professional and helpful.,5,Date of experience: 19 June 2024,19 Jun 2024
Easy to follow the representative,"Easy to follow the representative, informative and helpful. Kind and patient.",5,Date of experience: 19 June 2024,19 Jun 2024
Agent was very knowledgeable and…,Agent was very knowledgeable and informative.,5,Date of experience: 18 June 2024,19 Jun 2024
Good service,Date of experience: 19 June 2024,4,Date of experience: 19 June 2024,19 Jun 2024
Quick and prompt response.,Date of experience: 19 June 2024,5,Date of experience: 19 June 2024,19 Jun 2024
The process was easy and well explained,The process was easy and well explained,5,Date of experience: 19 June 2024,19 Jun 2024
Best customer service,Best customer service,5,Date of experience: 18 June 2024,19 Jun 2024
Great Experience with you today.,Date of experience: 18 June 2024,4,Date of experience: 18 June 2024,18 Jun 2024
Excellent,"Professional, reassuring, amicable. Resolved the query. What more do you want?!",5,Date of experience: 18 June 2024,18 Jun 2024
Avoid at all costs,"This company was recommended to me by another contractor when I was looking to change accountants. They emailed me their proposal and I had a phone call with them afterwards. I told them that they were not much cheaper than my current accountants and the offer was not competitive enough so I was not interested, thank you. They told me that they also offer financial advice and sell mortgages. I am sure they sell everything they can. Although I told them I was not interested in their offer, they continued to send me emails and text messages like ""We have been trying to contact you as we have been asked to register you for our CIS Self Employed Solution"". What a joke of a company. Looks like they do not understand the meaning of the word 'no'.",1,Date of experience: 18 June 2024,18 Jun 2024
Great service,Great service,5,Date of experience: 18 June 2024,18 Jun 2024
Very helpful and polite,Very helpful and polite,5,Date of experience: 18 June 2024,18 Jun 2024
Patrick was very calm,"Patrick was very calm, thorough and helpful",5,Date of experience: 17 June 2024,17 Jun 2024
Mutual respect and good behavior with…,Mutual respect and good behavior with employees.,5,Date of experience: 17 June 2024,17 Jun 2024
She made sure to resolve my issue and…,She made sure to resolve my issue and was very polite too.,5,Date of experience: 17 June 2024,17 Jun 2024
Knowledgeable and helpful,Knowledgeable and helpful,5,Date of experience: 17 June 2024,17 Jun 2024
Helpful Customer Service,"Customer Service was very helpful with my query, she was very patient and polite by explaining what I need to know.",5,Date of experience: 17 June 2024,17 Jun 2024
A paragon of customer service,"Polite, professional, gave me accurate concise information. A paragon of what customer service should be and a credit to your organisation",5,Date of experience: 17 June 2024,17 Jun 2024
I have tried to contact several times…,I have tried to contact several times regarding discrepancies in wages but they have not responded,1,Date of experience: 14 June 2024,14 Jun 2024
Pleased with Payroll Provider,I have used Workwell as my payroll provider for a couple of years now. I haven't had any issues with payroll when working with agencies. I have frequently asked for references to provide to other agencies and they have been great at completing them quickly. They have been great,5,Date of experience: 14 June 2024,14 Jun 2024
Very helpful and polite,Very helpful and polite,5,Date of experience: 14 June 2024,14 Jun 2024
Very helpful in helping me resolve my…,Very helpful in helping me resolve my query,5,Date of experience: 14 June 2024,14 Jun 2024
Perfect,"Perfect, picked the phone up straight away and handled the call perfectly and clearly. Thank you",5,Date of experience: 14 June 2024,14 Jun 2024
Amal was really helpful and assisted me…,Amal was really helpful and assisted me with my query. She managed to resolve it for me in such a short time! Thank you!,5,Date of experience: 13 June 2024,13 Jun 2024
She is very professional and polite,She is very professional and polite,5,Date of experience: 13 June 2024,13 Jun 2024
Really helpful and informative.,Date of experience: 13 June 2024,5,Date of experience: 13 June 2024,13 Jun 2024
Excellent experience,Excellent experience,5,Date of experience: 13 June 2024,13 Jun 2024
Martin was great,Martin was great. Great customer service.,5,Date of experience: 13 June 2024,13 Jun 2024
Clear instructions- helpful staff.,Date of experience: 12 June 2024,5,Date of experience: 12 June 2024,12 Jun 2024
Very helpful !,Date of experience: 12 June 2024,5,Date of experience: 12 June 2024,12 Jun 2024
Professional & Attentive Accounting,Workwell (and JSA) have looked after my company for 27 years; they have been professional and attentive throughout with deadlines met and accounts produced on time year after year.Danuta Wysluch has been the face of this excellent service for the last few years as our Personal Accountant.,5,Date of experience: 12 June 2024,12 Jun 2024
Daniel was great,Daniel was very helpful and knows whats hes talking about. Was very professional. Thank you,5,Date of experience: 11 June 2024,11 Jun 2024
Very helpful,Very helpful,5,Date of experience: 11 June 2024,11 Jun 2024
Getting started,Great service.,5,Date of experience: 10 June 2024,10 Jun 2024
Very clear explanation and step by step…,Very clear explanation and step by step registration. Open to questions and very helpful.,5,Date of experience: 07 June 2024,7 Jun 2024
I received a friendly phone call from…,I received a friendly phone call from someone who was very polite and helpful,5,Date of experience: 07 June 2024,7 Jun 2024
Preeya is always helpful.,Preeya is always helpful.,5,Date of experience: 07 June 2024,7 Jun 2024
Got clear answers to the questions i…,Got clear answers to the questions i asked. Thanks,5,Date of experience: 07 June 2024,7 Jun 2024
Jamal T,Jamal T was extremely professional in his approach to the problem and took a 3 pronged attempt to resolve with a promise to revert by telephone or email asap.,5,Date of experience: 07 June 2024,7 Jun 2024
Very professional and helpful,Very professional and helpfulListened and understood my concerns/problems and acted accordingly.,5,Date of experience: 06 June 2024,6 Jun 2024
Fabulous,"Fabulous, great service",5,Date of experience: 06 June 2024,6 Jun 2024
Polite and prompt,Polite and prompt,5,Date of experience: 06 June 2024,6 Jun 2024
Helped and was calm.,Date of experience: 06 June 2024,5,Date of experience: 06 June 2024,6 Jun 2024
Telephone service was great,Telephone service was great. Dealt with my query very fast,5,Date of experience: 05 June 2024,5 Jun 2024
Excellent service,Garry was extremely polite and helpful. Made the process of registering very easy.,5,Date of experience: 05 June 2024,5 Jun 2024
Open and transparent guidance,Date of experience: 05 June 2024,5,Date of experience: 05 June 2024,5 Jun 2024
Clarity about the process of payment,They made it clear about the process of getting paid.,4,Date of experience: 05 June 2024,5 Jun 2024
Preeya was super helpful,Preeya was super helpful,5,Date of experience: 05 June 2024,5 Jun 2024
Well this is my first time  hence l…,"Well this is my first time  hence l don't have much to say. However, l am looking forward for a bright future from your outfit.",3,Date of experience: 04 June 2024,5 Jun 2024
Good experience,"Yes, working with work well has been a fantastic moment with their qualities they give to their clients. Kudos to you guys",5,Date of experience: 04 June 2024,4 Jun 2024
The communication was good.,Date of experience: 03 June 2024,5,Date of experience: 03 June 2024,3 Jun 2024
Attentative,Listened to my queries and sorted them out as best that she could.,5,Date of experience: 03 June 2024,3 Jun 2024
The support person handled my query in…,The support person handled my query in a professional way,4,Date of experience: 31 May 2024,31 May 2024
Karina handled my payment enquiry very…,"Karina handled my payment enquiry very professionally - promptly, accurately and with a nice manner",5,Date of experience: 31 May 2024,31 May 2024
Helpful,"The lady I spoke with was friendly, helpful, knowledgeable and very kind. She made me feel comfortable to with her. Super employee",5,Date of experience: 31 May 2024,31 May 2024
Jamal listened patiently and understood…,Jamal listened patiently and understood my situation.  He was very helpful and reassuring. Thank you.,5,Date of experience: 31 May 2024,31 May 2024
They were resilient and they exhibited…,They were resilient and they exhibited a great level of professionalism for me to gather all my documents and I was guided throughout the entire process which to me was an awesome experience,5,Date of experience: 30 May 2024,Updated 31 May 2024
Muneet was fabulous in resolving my…,Muneet was fabulous in resolving my query - especially the one where more payment was deducted by Workwell whereas it should have been pro-rata.Great approach and customer service!,5,Date of experience: 30 May 2024,30 May 2024
Very good company excellent …,The reason for rating  is that my experience dealing with this wonderful company is the good workmanship that they carrie out and also the way they handle you queries and the good experiences that they have  iam very very happy with them good quality company.,5,Date of experience: 30 May 2024,30 May 2024
Great experience,Great experience,5,Date of experience: 30 May 2024,30 May 2024
Excellent support.,"The member was very clear, polite and patient to answer all my queries and followed up with the requested details.",5,Date of experience: 30 May 2024,30 May 2024
Very helpful conversation,Very helpful conversation. Things were explained to me clearly and I now know what to do moving forward. Thank you Barney. Tbh I’ve called Workwell before and I’ve left the call more confused than when I called. Glad I had a better experience,5,Date of experience: 30 May 2024,30 May 2024
Muneet was very helpful,Muneet was very helpful and answered my questions with great detail. She made sure I understood what she was saying and overall made me feel better,5,Date of experience: 30 May 2024,30 May 2024
Muneet was lovely,Muneet was lovely to speak to. She was so cheerful and patient and tried her best to help me.,5,Date of experience: 30 May 2024,30 May 2024
I got answered immediately,"I got answered immediately, and my query was answered very well.",5,Date of experience: 30 May 2024,30 May 2024
Jamal was exemplary,"Jamal was polite, helpful, intuitive and informative, i.e. exactly what anyone would wish to have dealing with their issue on a helpdesk.",5,Date of experience: 30 May 2024,30 May 2024
Awesome Service,"Awesome experience and advice by customer service, great use of calculations and explanations all clearly expressed. Great tone, empathy and communication - a credit to the organisation.",5,Date of experience: 29 May 2024,30 May 2024
Barney T make me understand about the…,Barney T make me understand about the payslip,5,Date of experience: 29 May 2024,29 May 2024
My questions were answered very directly,My questions were answered very directly,5,Date of experience: 29 May 2024,29 May 2024
Karina was very helpful,"Karina was very helpful, resolved my issue almost straight away, brilliant from her 👍🏽",5,Date of experience: 29 May 2024,29 May 2024
Stunning Customer Experience,Amal A response to me was a sweet replica of great customer relations. She was so concerned with stunning welcome. I love it.,5,Date of experience: 29 May 2024,29 May 2024
Nataasha was just great,Nataasha was just great. Very pleased with clear explanation of my query.Thank you.,5,Date of experience: 29 May 2024,29 May 2024
Very helpful!,Very helpful!,5,Date of experience: 29 May 2024,29 May 2024
Unpaid Wages and Exploitation of Labour…,Unpaid Wages and Exploitation of Labour under the guise of an umbrella company.,1,Date of experience: 20 May 2024,29 May 2024
Quick and helpful response to my query,Date of experience: 28 May 2024,5,Date of experience: 28 May 2024,29 May 2024
Great customer service skills,I was satisfied with how my concern was dealt with.The agent over the phone has demonstrated great communication skills.,5,Date of experience: 28 May 2024,29 May 2024
This morning Carina,This morning Carina! She was very helpful and professional she came back to me with a positive response. Thanks Carina.,5,Date of experience: 28 May 2024,28 May 2024
Friendly and helpful,Friendly and helpful,5,Date of experience: 28 May 2024,28 May 2024
Very knowledgable,"Very knowledgable, gave many options and clear advice, signposted to HMRC for further enquiries",5,Date of experience: 25 May 2024,25 May 2024
Nataasha C,"Nataasha C was very polite and friendly, she resolved my issue very quickly",5,Date of experience: 24 May 2024,24 May 2024
Karina was amazing and so helpful,Karina was amazing and so helpful,5,Date of experience: 24 May 2024,24 May 2024
Very polite and lovely conversation,Very polite and lovely conversation. Rang back with a swift response to my query.,5,Date of experience: 24 May 2024,24 May 2024
I spoke to a very pleasant and very…,I spoke to a very pleasant and very knowledgeable lady who had all the answers to my question. So 5* for herOn the other hand I had to wait a hour in the queue for a company of this magnitude workwell you need to do better. 0 * for the wait.,5,Date of experience: 23 May 2024,23 May 2024
Very good customer service,Very good customer service,5,Date of experience: 23 May 2024,23 May 2024
Pay roll,I’m happy with your service,3,Date of experience: 23 May 2024,23 May 2024
Very supportive and calm,Date of experience: 23 May 2024,5,Date of experience: 23 May 2024,23 May 2024
Jamal was super efficient and polite…,Jamal was super efficient and polite handling my enquiry! A great and easy experience.,5,Date of experience: 22 May 2024,22 May 2024
Excellent customer service,"The lady who answered my call took her time to find out what was needed to answer my question and when she came back, it was a deal done.",5,Date of experience: 22 May 2024,22 May 2024
She solved my problem quickly.,Date of experience: 22 May 2024,5,Date of experience: 22 May 2024,22 May 2024
Very polite,Very polite,5,Date of experience: 22 May 2024,22 May 2024
Really helpful and clear answers given.,Really helpful and clear answers given.,4,Date of experience: 22 May 2024,22 May 2024
Professional,Professional,5,Date of experience: 21 May 2024,21 May 2024
Knowledgeable,"The people who answer the phone to you always know what they're talking about, and give you an accurate answer to your question, and with confidence. Never had problems with them.",5,Date of experience: 21 May 2024,21 May 2024
Preeya was so helpfull on my issue and…,Preeya was so helpfull on my issue and was able to resolve very quickly.,5,Date of experience: 21 May 2024,21 May 2024
Excellent service,Excellent service.  Highly recommend,5,Date of experience: 21 May 2024,21 May 2024
It was an excellent service as always,It was an excellent service as always,5,Date of experience: 21 May 2024,21 May 2024
It was a great experience while talking…,It was a great experience while talking to Natasha. She patiently clarified my all doubts and promptly resolved the issue.,5,Date of experience: 20 May 2024,20 May 2024
They are good with keeping their…,They are good with keeping their clients up to date.,5,Date of experience: 20 May 2024,20 May 2024
She was calm,She was calm. Straight to the point and made clarification of request easy to understand.,5,Date of experience: 20 May 2024,20 May 2024
Guy I talked with via phone was so…,Guy I talked with via phone was so lovely n helpful,5,Date of experience: 17 May 2024,17 May 2024
Taking ownership,The consultant took ownership of the issue without being prompted. As well as taking the time to understand the issue.,5,Date of experience: 17 May 2024,17 May 2024
Review for AmalVery helpful and courteous,Very helpful and courteous Thanks,4,Date of experience: 17 May 2024,17 May 2024
Jamal has been very helpful in his…,Jamal has been very helpful in his assistance. After the call he has sent me a very comprehensive email. Very satisfied on the assistance.,5,Date of experience: 17 May 2024,17 May 2024
No solution,"I was promised a call back which did not happen. Despite also putting my query in writing I have still not had a response. Follow up call made today, guess what? STILL no response!!!",1,Date of experience: 07 May 2024,17 May 2024
"They are very friendly ,efficient and…","They are very friendly ,efficient and transparent.",5,Date of experience: 17 May 2024,17 May 2024
Staff was very attentive and quick to…,Staff was very attentive and quick to resolve my questions.,5,Date of experience: 17 May 2024,17 May 2024
Great person on the phone,"Great person on the phone, very quickly sorted out my problem, thanks!",5,Date of experience: 17 May 2024,17 May 2024
Extremely excellent services,Date of experience: 17 May 2024,5,Date of experience: 17 May 2024,17 May 2024
Well Addressed Complaint …,The response to my complaint was well addressed and I'm so glad with this.,4,Date of experience: 17 May 2024,17 May 2024
I got what I needed,"I got what I needed, and his communication with me was really amazing and understandable.",5,Date of experience: 16 May 2024,16 May 2024
Very professional and made things easy…,Very professional and made things easy to understand. I could see the representative wanted to help and is willing to contact me with a response when he has one. Thanks.,5,Date of experience: 16 May 2024,16 May 2024
Preya was lovely,"Preya was lovely, very helpful",5,Date of experience: 16 May 2024,16 May 2024
Provided all the necessary information I needed,"Good customer service, went straight to provide all the information needed",5,Date of experience: 16 May 2024,16 May 2024
Very Good Customer Service!,Jamal was very helpful and sorted out my query quickly and efficiently.,5,Date of experience: 16 May 2024,16 May 2024
Query was promptly handled and resolved.,Date of experience: 16 May 2024,5,Date of experience: 16 May 2024,16 May 2024
Workwell have good customer support,"Workwell have good customer support, always helpful and call back option is good.",5,Date of experience: 16 May 2024,16 May 2024
Very efficient,Very efficient. Simply explained. Very friendly service.,5,Date of experience: 16 May 2024,16 May 2024
very helpful and friendly service,very helpful and friendly service,5,Date of experience: 16 May 2024,16 May 2024
Very helpful and good advice,Date of experience: 16 May 2024,5,Date of experience: 16 May 2024,16 May 2024
Really helpful and straightforward,Really helpful and straightforward. Great assistance.,5,Date of experience: 16 May 2024,16 May 2024
Helpful and polite,Date of experience: 16 May 2024,5,Date of experience: 16 May 2024,16 May 2024
My query was answered quickly and…,My query was answered quickly and accurately by a knowledgeable advisor named Daniel.,5,Date of experience: 15 May 2024,16 May 2024
Answered all queries and very polite,Answered all queries and very polite,5,Date of experience: 15 May 2024,16 May 2024
George was really helpful and efficient,George was really helpful and efficient,5,Date of experience: 15 May 2024,15 May 2024
Very helpful,Very helpful,5,Date of experience: 15 May 2024,15 May 2024
Clear and straightforward explanation,Clear and straightforward explanation,5,Date of experience: 15 May 2024,15 May 2024
It’s good to talk,"It’s good to talk, and I like how she handle all situation,",5,Date of experience: 15 May 2024,15 May 2024
Efficient and easy,Efficient and easy,5,Date of experience: 14 May 2024,14 May 2024
Great service / thanks,Date of experience: 14 May 2024,5,Date of experience: 14 May 2024,14 May 2024
Jemal was really nice and very very…,Jemal was really nice and very very helpful 👍,5,Date of experience: 14 May 2024,14 May 2024
great in response to customers on…,Was great in response to customers on all of that's what counts thank you very much,5,Date of experience: 14 May 2024,14 May 2024
Workwell sign up,Explained everything thoroughly and was friendly and professional.,5,Date of experience: 14 May 2024,14 May 2024
Great service,"Jamal was courteous, efficient and dealt with my issues calmly and quickly",5,Date of experience: 14 May 2024,14 May 2024
Knowledgable assistance,"Amal immediately knew the answer to my query, explained the answer clearly and was friendly and professional in her delivery.",5,Date of experience: 13 May 2024,13 May 2024
Excellent customer service,Karina was extremely helpful and answered all my concerns. Thank you 🙏,5,Date of experience: 13 May 2024,13 May 2024
Helpful and understanding,Date of experience: 13 May 2024,5,Date of experience: 13 May 2024,13 May 2024
Helpful and knowledgeable,Helpful and knowledgeable,5,Date of experience: 13 May 2024,13 May 2024
Worst Payroll Company I ever dealt with,"Well I was promised my wages on Friday, low and behold nothing went in. Then I'm havin to chase my wages on Monday morning and I'm getting passed from pillar to post, not to mention the office staff having an attitude problem with me! For looking for my own wages.Absolute joke of a payroll company. Avoid like the plague.If there was an option for zero stars I would of pressed that.Absolute pack of gobshites.",1,Date of experience: 13 May 2024,13 May 2024
Very helpful,"Very helpful, thank you for sorting my issue out.",5,Date of experience: 13 May 2024,13 May 2024
Calm and paid attention to detail.,Date of experience: 13 May 2024,5,Date of experience: 13 May 2024,13 May 2024
Excellent and knowledgable Customer Service,"I’ve been lucky enough to have a few email conversations and last week an actual phone call conversation with Lewis R in their Support Team. Always really pleased with his speed of reply, detail and friendly nature of the email. Last week we spoke on the phone, specifically about Pensions and some detailed questions I had.He’s very knowledgable and no question was too much (in qty terms), or complicated and he needed advice or support - all answered clearly and comprehensively.Lewis R is a pleasure to deal with, provides excellent and in depth Customer Service - well done, and thank you.",5,Date of experience: 08 May 2024,12 May 2024
Jamal was very supportive and patient…,Jamal was very supportive and patient with me explaining the process of P45 and more.,5,Date of experience: 11 May 2024,11 May 2024
"I really need a help,as I am a foreign…","I really need a help,as I am a foreign er called you and wrote a very important message.I got no reply.I was just transferred to your sister company which  I didn't want to.join from the beginning.Anyway I am struggling to register myself eith you.",2,Date of experience: 10 May 2024,10 May 2024
My experience has been great soo far…,My experience has been great soo far with the staff and working environment.  Staff at admin were welcoming and very friendly.,5,Date of experience: 03 May 2024,10 May 2024
Very helpful,"Very Patient, quick to pick calls.",5,Date of experience: 10 May 2024,10 May 2024
Gave a good understanding of their…,Gave a good understanding of their services worked and communicated well with me the whole phone call.,5,Date of experience: 10 May 2024,10 May 2024
Vry impressive,Vry impressive,5,Date of experience: 10 May 2024,10 May 2024
good experience,"they explained to me my rights as an employee, and carefully going through details, polite patient and kind people.",5,Date of experience: 08 May 2024,9 May 2024
