title,description,rating,travel_date,review_date
Their prompt reply,Date of experience: 01 July 2024,5,Date of experience: 01 July 2024,1 Jul 2024
My call was answered really quickly,My call was answered really quickly. The lady who took my call was really  helpful really kind.,5,Date of experience: 01 July 2024,1 Jul 2024
Slick and seamless,The whole process is very slick and seamless.  I have used Paystream for many contracts and never been disappointed.,5,Date of experience: 24 June 2024,30 Jun 2024
10/10,"leaving process was made very clear by Jasam, 10/10",5,Date of experience: 28 June 2024,30 Jun 2024
Very good experience,Date of experience: 27 June 2024,5,Date of experience: 27 June 2024,29 Jun 2024
TGIF - Quick Response,Matthew responded very quickly to a query - it was even more impressive as the response came within the hour on a Friday evening. Great service from PayStream. Many thanks.,5,Date of experience: 28 June 2024,28 Jun 2024
"Great Service, Every Time","I have nothing but praise for Paystream.To begin with the customer service is second to none getting through to someone within a minute.Also about documentation through where having been informed it may take up to 3 days took 4 hours. I have now let Paystream but as as soon as I get a new contract I will be immediately give them a call. Highly recommend, as always",5,Date of experience: 28 June 2024,28 Jun 2024
Certainly the best Umbrella company…,Certainly the best Umbrella company I've used by miles,5,Date of experience: 28 June 2024,28 Jun 2024
Good knowledge and sorted my question…,"Good knowledge and sorted my question very quickly, no problem",5,Date of experience: 28 June 2024,28 Jun 2024
Thorough and unhurried,"Jordon, from the customer care team, was very thorough and took time to answer all my many questions. I very much appreciated his clear explanations and unhurried approach. 5 stars and well deserved.",5,Date of experience: 28 June 2024,28 Jun 2024
I felt that everything was thorough,"I felt that everything was thorough, quick and clear.",5,Date of experience: 28 June 2024,28 Jun 2024
The process was well explained by my…,The process was well explained by my consultant and she was very helpful with the questions I had. Job very well done and 10 starts to her!!,5,Date of experience: 25 June 2024,28 Jun 2024
Highly recommend,"Easy, professional and friendly",5,Date of experience: 28 June 2024,28 Jun 2024
Very good service,Very good service,5,Date of experience: 27 June 2024,28 Jun 2024
Very friendly and resolved the invoice…,Very friendly and resolved the invoice issue in no time.,5,Date of experience: 28 June 2024,28 Jun 2024
Super efficient & Happy to help,"Emma-Louise dealt with my query very efficiently, professionally, with a ""happy to help"" demeanour and followed up as promised that made my week a lot easier.",5,Date of experience: 25 June 2024,28 Jun 2024
Excellent service,Excellent service,5,Date of experience: 24 June 2024,27 Jun 2024
Excellent service,Excellent service. Always on the ball. Keep up the great work.,5,Date of experience: 27 June 2024,27 Jun 2024
Paystream excellent service provider,Great service Provider never had an issue. When I needed a query answered this team always got back to me within a 24 hour period. Often answering all issues I had. Thank you for the great support whilst I was injured. I truly appreciate this Service Provider and won't hesitate to use them again in the near future. C Stapleton.,5,Date of experience: 27 June 2024,27 Jun 2024
Good advice from great professionals.,Date of experience: 27 June 2024,5,Date of experience: 27 June 2024,27 Jun 2024
Great service and I left feeling that I…,"Great service and I left feeling that I could rely and trust the company to do as they stated, discussed.",5,Date of experience: 27 June 2024,27 Jun 2024
Very Professional,"Always answer phone immediately and resolve questions asked. Very good on admin vis payslips, P60s. Great online portal. Good linking with agencies. Always pay on time so Friday a dream day!",5,Date of experience: 27 June 2024,27 Jun 2024
Good service!,"Good service!My call was answered almost straightaway, after going through just one ""press X button for this and that"" automated screening step.Friendly colleague helped me with my question.",5,Date of experience: 27 June 2024,27 Jun 2024
Paystream- friendly & excellent customer care service care,"The customer care introduction emails and calls have been very good, clear and informative. Jordan who called me to explain the role of PayStream in the umbrella arrangement was excellent in providing information on all the different facets of the service provided by PayStream and specifically the customer care team! I would highly recommend PayStream as an umbrella company for contractors!",5,Date of experience: 27 June 2024,27 Jun 2024
My reviewer was well prepared and…,My reviewer was well prepared and offered many constructive comments. She demonstrated skill and patience when taking me through the draft accounts.,5,Date of experience: 26 June 2024,26 Jun 2024
Excellent service,"Excellent service, approach and knowledge of subject matter with good advice. Tara was very thorough.",5,Date of experience: 26 June 2024,26 Jun 2024
Very fast reply,"Very fast reply, and answered my question clearly",5,Date of experience: 26 June 2024,26 Jun 2024
Very efficient,"Very efficient, quckly responding, accurate. Would use again and would recommend to friends",5,Date of experience: 24 January 2024,26 Jun 2024
Emma was patient,"Emma was patient, determined to help and very courteous",5,Date of experience: 25 June 2024,26 Jun 2024
I’ve worked with Paystream for over 10…,"I’ve worked with Paystream for over 10 years. Originally as a contractor under my own business and now as my Umbrella Company. In both situations I have felt incredibly supported and encouraged by the team, who are always eager to assist.",5,Date of experience: 26 June 2024,26 Jun 2024
Easy and efficient communication and…,Easy and efficient communication and portal interface,5,Date of experience: 26 June 2024,26 Jun 2024
great support,Date of experience: 26 June 2024,5,Date of experience: 26 June 2024,26 Jun 2024
Paystream provided an excellent service…,Paystream provided an excellent service over the course of my recent contract. Will use them again in the future if needed.,5,Date of experience: 26 June 2024,26 Jun 2024
Jasam was friendly and informative,Date of experience: 26 June 2024,5,Date of experience: 26 June 2024,26 Jun 2024
Quick phone support,"Quick phone support, rep was very helpful.",5,Date of experience: 26 June 2024,26 Jun 2024
Great custom,"Great custom, very welcoming and answered questions I had effectively.   Keep it up.",5,Date of experience: 26 June 2024,26 Jun 2024
10/10,"Jassam was polite, helpful and professional. I would personally recommend paystream.",5,Date of experience: 25 June 2024,26 Jun 2024
"Politeness of staff,","Politeness of staff,prompt attendance and resolving concerns Excellent customer service",5,Date of experience: 25 June 2024,25 Jun 2024
Helpful care team,Helya is really helpful. Thank you!,5,Date of experience: 25 June 2024,25 Jun 2024
Great service,Great team and work !,5,Date of experience: 25 June 2024,25 Jun 2024
"Professional, supportive and knowledgeable …",I always get the support that I need and support is always delivered in a professional and friendly manner. I would highly recommend Paystream.,5,Date of experience: 25 June 2024,25 Jun 2024
Very informative and extremely helpful,Date of experience: 25 June 2024,5,Date of experience: 25 June 2024,25 Jun 2024
Great help from your service,Great help from your service,5,Date of experience: 25 June 2024,25 Jun 2024
Brilliant introduction call,Brilliant introduction call. Everything fully covered and explained in details by a lovely member of staff called Georgia.,5,Date of experience: 25 June 2024,25 Jun 2024
Vicky,"Vicky, and paystream overall, is very helpful with any queries I have about work and work related pay, which can be a tricky thing to navigate. They've taken care of any problems I've had with contracts and timesheets which can be stressful.",5,Date of experience: 24 June 2024,25 Jun 2024
Super helpful and clear,"Mohammad was very helpful, clear and thorough with the information and clarification he has provided to me.",5,Date of experience: 20 June 2024,25 Jun 2024
We have always kept in close touch,"We have always kept in close touch with each other, helping us deal with the day-to-day issues that arrive.Friendly staff and helpful.I would personally recommend Paystream.",5,Date of experience: 19 June 2024,25 Jun 2024
Pay stream are excellent with their…,Pay stream are excellent with their communications. They follow up and constantly update you with any queries or issues you have. Kele in particular empathetic and just fantastic to talk to!,5,Date of experience: 24 June 2024,24 Jun 2024
The onboarding process was smooth and…,"The onboarding process was smooth and well-organized. The team provided detailed information about every step, ensuring I understood the process fully. They were incredibly helpful and responsive, making the entire experience seamless and stress-free",5,Date of experience: 21 June 2024,24 Jun 2024
Quick response 👍,Date of experience: 24 June 2024,5,Date of experience: 24 June 2024,24 Jun 2024
Very pleased with Paystream,"Paystream has always been quick, effective, friendly and helpful with very useful online features.  I've used two umbrella companies and Paystream is much better.  Strongly recommended.",5,Date of experience: 04 June 2024,24 Jun 2024
Easy to contact professional,Easy to contact professional. And helpfulWould recomend,5,Date of experience: 24 June 2024,24 Jun 2024
Consistently a great service,Every time I call them someone gets to the bottom of my query very fast and in a friendly way with a can-do attitude. I’m very impressed,5,Date of experience: 24 June 2024,24 Jun 2024
Very helpful,"Very helpful, polite and efficient service.",5,Date of experience: 24 June 2024,24 Jun 2024
SIPP query,Sorted out questions i had in regard to my SIPP,5,Date of experience: 24 June 2024,24 Jun 2024
Perfect Umbrella Company For First Time Contractors,"This is my first time as a contractor and Paystream have made a potentially confusing experience into a painless one. They are easy to get hold of on the phone (email not so much) and the staff are friendly, professional and helpful.I have inundated them with questions and every time they have been responsive and helpful. Another bonus are the payslips provided by them are broken down and easily explained on the slip itself.Highly recommended",5,Date of experience: 03 June 2024,21 Jun 2024
Helpful,"Helpful, polite and friendly service with all my queries answered to my satisfaction.",5,Date of experience: 21 June 2024,21 Jun 2024
She was very clear and knew exactly…,She was very clear and knew exactly what I wanted. She was polite and welcoming. I got the information I wanted and it was well explained,5,Date of experience: 21 June 2024,21 Jun 2024
Very professional staff always quick…,"Very professional staff always quick with responses,  they are very well trained and polite.Ive never had a single issue in the 3 years I've worked with them.",5,Date of experience: 21 June 2024,21 Jun 2024
Manjusha,"My experience with PayStream has been exceptional for my first contracting role. Their portal is intuitive and user-friendly, and the accounting team consistently provides helpful and efficient support. Overall, I am extremely satisfied with the service I have received and highly recommend PayStream.",5,Date of experience: 20 June 2024,21 Jun 2024
Paystream - impressive all round!,"Kele esp. in customer support was very helpful, thank you!",5,Date of experience: 21 June 2024,21 Jun 2024
Georgia was great in explaining all the…,Georgia was great in explaining all the relevant aspects of pay stream and answered all my questions. Gave me a really positive first impression of the company.,5,Date of experience: 19 June 2024,21 Jun 2024
Polite and courteous,"Polite and courteous, highly professional, excellent knowledge on processes, altogether an excellent experience all round.",5,Date of experience: 21 June 2024,21 Jun 2024
Salaries will not pay on time,"Salaries will not pay on time, Very bad in terms of timely payments, my 2 months of payments pending more than 50 days of invoice date because of Paystream faulty systems, Paystream System shows the invoice has submitted to agency/client  but actual they are not, when you chase for payments agency/client will say we have not received any invoice from Paystream this is  purely because PayStream faulty systems, PayStream customer team is not at helpful in this process ,and they do not have any SLAs, Same day payment is also a big lie and false informationI got confirmation from Client /Agency the funds got proceed and deposited however PayStream doesn't have an idea when they will pay your salary, they just keep the money in their accounts to delay the salaryNot at all a good company - please think before join",1,Date of experience: 20 June 2024,21 Jun 2024
Stressful Overpayment Issue & Brilliant Resolution,"I contacted PayStream due to an issue with a supposed overpayment from an agency I hadn't worked for for over a year. I then didn't get my payslip on time and PayStream advised my pay was on hold while they looked into this, which was pretty stressful and upsetting.I called and spoke to Emma-Louise, who patiently listened and advised she was going to investigate the situation for me and really reassured me she would phone me back the same day regardless of the outcome. 1.5hrs later I had a missed call, which was followed by my payslip! Emma-Louise left me a VM explaining the pay was sorted & to call her back. I called back and she explained how she managed to resolve the pay & overpayment issues.She made a really stressful situation much better to deal with and took full responsibility to help me sort it. I'm very grateful to her and just wanted to put a massive shout out and thank you to Emma-Louise for you help! I hope you get this!",5,Date of experience: 20 June 2024,21 Jun 2024
Very quick and helpful response,"Very quick and helpful response, going above and beyond by providing me with weblink that I needed.",5,Date of experience: 20 June 2024,20 Jun 2024
Harris was very helpful,Harris provided a very clear explanation of everything when reviewing my accounts.,5,Date of experience: 20 June 2024,20 Jun 2024
Very Good Service,"Good and reliable customer service, easy to get in touch with people who can help when I have queries, staff are friendly and helpful.",5,Date of experience: 20 June 2024,20 Jun 2024
PayStream highly recommend,"PayStream are great, been with them for 5 years, reliable, helpful and always get back to you promptly after a query.",5,Date of experience: 20 June 2024,20 Jun 2024
Excellent,Very professional and excellent customer service.,5,Date of experience: 20 June 2024,20 Jun 2024
Paystream accountants are professional…,"Paystream accountants are professional and helpful, painless service.",5,Date of experience: 20 June 2024,20 Jun 2024
Transparent and very informative Ben…,"Transparent and very informative Ben Waterworth was very helpful,patient and understanding.",5,Date of experience: 20 June 2024,20 Jun 2024
I'm applying for mortgage and requested…,I'm applying for mortgage and requested for information which was provided immediately.Very happy indeed,5,Date of experience: 20 June 2024,20 Jun 2024
Quick answer,"Quick answer, patient and clear communication",5,Date of experience: 19 June 2024,19 Jun 2024
Good all round support and a great…,Good all round support and a great website to help me plan finances.,5,Date of experience: 18 June 2024,19 Jun 2024
PayStream MyMaxExec,"PayStream, particularly if you pay the small extra for the MyMaxExec, have been excellent. They respond to any queries quickly and pay me the same day that they get the money.They provide a service to create and submit your annual Self-Assessment Tax form which was great and made it fairly painles for meThey are strict, for example you must submit the right receipt to match the expense you are claiming for. I take that as a good thing",5,Date of experience: 19 June 2024,19 Jun 2024
Such a professional organization to…,Such a professional organization to deal with. I was made very welcome from the first day I started 3 years ago. Everything runs so smoothly. A pleasure to work with. never any problems.,5,Date of experience: 19 June 2024,19 Jun 2024
Customer Experience  - Excellent !,"The Team have really thought about the design of their service with their ""customers"" in mind. I have been using PayStream now 4 months as a contracted employee in the Public sector. The process is seamless and I receive confirmations. payslips and my pay on time and it has always been correct. The support from the team, especially Charlie, has been really useful, sensible and timely. Thank you Charlie - keep up the great work !",5,Date of experience: 19 June 2024,19 Jun 2024
Was able to understand my issues,"Emma was able to understand my issues and explain answers, UK based call centre",5,Date of experience: 19 June 2024,19 Jun 2024
Really helpful customer service agents…,Really helpful customer service agents answer questions effectively and efficiently,5,Date of experience: 19 June 2024,19 Jun 2024
Shogun from Paystream was very customer…,Shogun from Paystream was very customer friendly and diligent to look up information to help customer queries on certain complex scenarios.,5,Date of experience: 19 June 2024,19 Jun 2024
Always super helpful and friendly!,Date of experience: 19 June 2024,5,Date of experience: 19 June 2024,19 Jun 2024
Daniel is expectional within his role,"Daniel is expectional within his role, and will always help. There is never a need to chase, he is always one step ahead. Excellent work ethic and pleasure to deal with. A credit to Paystream",5,Date of experience: 19 June 2024,19 Jun 2024
Fantastic Paystream Team,"Paystream have always provided a fantastic service. I’ve used them for both inside & outside, with the same fantastic service.",5,Date of experience: 18 June 2024,18 Jun 2024
Paystream did exactly as they promised.,"Paystream did exactly as they promised. Communications were always, prompt, professional and friendly. I’ll use them again for my next contract.",5,Date of experience: 18 June 2024,18 Jun 2024
Acted professionally had good service,Acted professionally had good service,5,Date of experience: 18 June 2024,18 Jun 2024
Excellent service,Excellent service. Queries answered swiftly and all the hard work done for you.,5,Date of experience: 18 June 2024,18 Jun 2024
Great onboarding experience and a…,Great onboarding experience and a customer care team that cares.,5,Date of experience: 18 June 2024,18 Jun 2024
Simple and easy,Simple and easy - no fuss or long winded forms,4,Date of experience: 18 June 2024,18 Jun 2024
Very Professional,"The advisor I spoke to was very polite, professional and effective. Also, my call was answered promptly rather than making me wait for ages.",5,Date of experience: 18 June 2024,18 Jun 2024
Works as expected,"Very reliable, predictable services with lots of perks",5,Date of experience: 18 June 2024,18 Jun 2024
Olivia took ownership of my query and…,Olivia took ownership of my query and followed up on her action. Great customer service,5,Date of experience: 18 June 2024,18 Jun 2024
Very helpful.,Very helpful.,5,Date of experience: 18 June 2024,18 Jun 2024
Rang to check issues with payment,Rang to check issues with payment - all good - Tony sorted everything out - although had problems with timesheets - Paystream have always held up their end on the contract by providing a good umberella service.,5,Date of experience: 06 June 2024,18 Jun 2024
I’m very happy with PayStream’s…,I’m very happy with PayStream’s performance. Very on the ball and informative.,5,Date of experience: 17 June 2024,17 Jun 2024
It was lovely speaking to him.,It was lovely speaking to him.,5,Date of experience: 17 June 2024,17 Jun 2024
Very friendly and gave good advice,Date of experience: 17 June 2024,5,Date of experience: 17 June 2024,17 Jun 2024
Every time I call with an enquiry,"Every time I call with an enquiry, it is dealt with speedy and politely Excellent service",5,Date of experience: 17 June 2024,17 Jun 2024
"Great Service, Quick resolutions","Just one call away, my queries are always resolved, Highly satisfied.",5,Date of experience: 13 June 2024,17 Jun 2024
informative UK call centre,informative UK call centre. easy to speak to someone. timely services,5,Date of experience: 17 June 2024,17 Jun 2024
Thank you Kevin,Kevin helped me through the whole process and did an amazing job to keep me updated with my query.,5,Date of experience: 14 June 2024,16 Jun 2024
Very helpful and courteous service,Date of experience: 13 June 2024,5,Date of experience: 13 June 2024,16 Jun 2024
PayStream was very good managing my…,"PayStream was very good managing my contract details and payments, while having an excellent portal",5,Date of experience: 12 June 2024,16 Jun 2024
I highly recommend PayStream,"I would recommend PayStream to friends because I believe their services are excellent. They have great customer service and I always received payments promptly. Furthermore, their online platform is user friendly.",5,Date of experience: 14 June 2024,15 Jun 2024
Excellent service,Excellent service,5,Date of experience: 14 June 2024,14 Jun 2024
Excellent Customer Service,"Whenever I called Paystream, they have given quick response. They have understood my issue and gave me solutions or guided me to what I can do to resolve issues.",5,Date of experience: 14 June 2024,14 Jun 2024
Excellent servuce,Pleasant conversation on if I had finished contract and received all payments then she sorted out my P45 - excellent service,5,Date of experience: 10 June 2024,14 Jun 2024
Thank you,Lisa-Ann got back to me when she said she would & resolved the issue quickly. Both Lisa-Ann & Dan have been very helpful & always respond quickly to my queries. Which im very grateful for. Thank you both.,5,Date of experience: 14 June 2024,14 Jun 2024
Always friendly and responsive to any…,Always friendly and responsive to any queries.,5,Date of experience: 13 June 2024,14 Jun 2024
Natalie At the customer care team was…,Natalie At the customer care team was very professional and helpful!,5,Date of experience: 14 June 2024,14 Jun 2024
Very helpful,Date of experience: 14 June 2024,5,Date of experience: 14 June 2024,14 Jun 2024
One of the most helpful and friendly…,One of the most helpful and friendly companies to deal with. Really a great overall experience,5,Date of experience: 14 June 2024,14 Jun 2024
Introduction call was very insightful…,Introduction call was very insightful and helpful. They clarified all my queries.,5,Date of experience: 14 June 2024,14 Jun 2024
As always very efficient service,"As always very efficient service, my issue dealt with professionally and effectively in a timely fashion",5,Date of experience: 14 June 2024,14 Jun 2024
Great customer service from advisor,Great customer service from advisor,5,Date of experience: 14 June 2024,14 Jun 2024
Paystream staff were always helpful and…,Paystream staff were always helpful and knowledgeable when needed.,5,Date of experience: 14 June 2024,14 Jun 2024
Quality staff,"The consultant I spoke to was happy, knowledgeable, helpful and made sure I understood the options available to me. Are interaction was quick and efficient and I feel this consultant is a asset to your organisation.",5,Date of experience: 14 June 2024,14 Jun 2024
Friendly and helpful,"Friendly, patient and down to earth - very helpful and notably better than one of the other umbrella companies used previously - thanks!",5,Date of experience: 13 June 2024,13 Jun 2024
Friendly and efficient,"Friendly and efficient, exactly what you'd want",5,Date of experience: 13 June 2024,13 Jun 2024
Great experience and very helpful,Great experience and very helpful. Highly recommend,5,Date of experience: 13 June 2024,13 Jun 2024
First Class Experience,I have benefitted from the services of PayStream for some time. Recently I have been in touch with Millie-Raine with some practical issues around my contract terms and their impact on the umbrella arrangements. These were handled and answered quickly and clearly. First class.,5,Date of experience: 12 June 2024,13 Jun 2024
Thank you Holly,"Thank you Holly! I had a questions about my payslips and my tax. No waiting times, immediate answer on the phone, Holly was absolutely brilliant. Explained everything to me, did a tax calculation and put my mind at ease. Thank you very much!",5,Date of experience: 13 June 2024,13 Jun 2024
It was pleasant to talk with them,It was pleasant to talk with them. Easy to understand and to very friendly approach.,5,Date of experience: 13 June 2024,13 Jun 2024
Always helpful and understanding,"Always providing helpful advice on all matters. Whether on the phone or via email, the response is always prompt and friendly with total understanding of the situation.",5,Date of experience: 12 June 2024,13 Jun 2024
Quick response,Quick response,5,Date of experience: 12 June 2024,13 Jun 2024
Quick and efficient service,Quick and efficient service,5,Date of experience: 10 June 2024,12 Jun 2024
Really Helpful,The team were really helpful today when I called with a query.,5,Date of experience: 12 June 2024,12 Jun 2024
Very good,Very good . The agent took my call was very understanding and willing to resolve my query .,5,Date of experience: 12 June 2024,12 Jun 2024
Mohamed was great gave me the right…,Mohamed was great gave me the right information and walking through the expenses process.,5,Date of experience: 12 June 2024,12 Jun 2024
Review annual accounts,"My interaction with the company was to review a set of annual accounts. This task was completed efficiently and accurately via a telephone conversation. The call was made punctually and all questions I had, both during and prior to the call, regarding the draft accounts were answered to my satisfaction. The accountant I spoke to was both professional and friendly.",5,Date of experience: 11 June 2024,12 Jun 2024
Great service,"Great service, friendly and helpful staff.",5,Date of experience: 12 June 2024,12 Jun 2024
Very friendly very helpful support,Very friendly very helpful support,5,Date of experience: 12 June 2024,12 Jun 2024
All good,"All good, very informative and provided sound guidance on how to use the system. Looks pretty straight forward so far.",5,Date of experience: 12 June 2024,12 Jun 2024
Excellent customer care and always…,Excellent customer care and always resolve my  issues instantly or as early as possible. Happy to recommend.,5,Date of experience: 12 June 2024,12 Jun 2024
Friendly & consistent service,Friendly & consistent service. Nicola was very helpful and dealt with my query professionally in a polite and friendly manner,5,Date of experience: 01 June 2024,12 Jun 2024
Request for payment details,Request for payment details for pension was replied to in full and in less than one working day which was impressive not long after tax year end,5,Date of experience: 12 June 2024,12 Jun 2024
Great first impression,"What an amazing experience I’ve had already and I’ve only just joined. Nice to chat to, knowledgeable and friendly. It’s a yes from me! I’ve dealt with Vicky and Mo so far and I’m very happy!",5,Date of experience: 12 June 2024,12 Jun 2024
Very helpful and easy to deal with,"Very helpful and easy to deal withAs with everything, occasionally things do not go as expected and the measure of a company is their actions in these circumstances - I found payStream to be very helpful and responsive in resolving any issueTherefore I have no reservations in recommending this company",5,Date of experience: 07 June 2024,12 Jun 2024
Excellent customer service,"Shogan was very polite, listened to my complaint and also provided an excellent customer service, my issue was resolved immediately. Thank you!",5,Date of experience: 10 June 2024,12 Jun 2024
Wonderful response,"My phone call was responded to very quickly. The Operative was very polite, very quick to find my account & verify that it was my account.She answered my query fully.Astonishing level of service shown by this Company",5,Date of experience: 11 June 2024,11 Jun 2024
Great service from Matt in Customer Care,Absolutely fantastic service from Matt in the Customer Care team. He was helpful and knowledgable and took the time to explain things.,5,Date of experience: 11 June 2024,11 Jun 2024
He/she responded swiftly with kind…,He/she responded swiftly with kind wording.,5,Date of experience: 11 June 2024,11 Jun 2024
Perfect Service,"Perfect! Paystream does exactly what you need them to.I will always recommend PayStream for pay needs, especially when it comes to the umbrella service.",5,Date of experience: 04 June 2024,11 Jun 2024
Peace Of Mind,I have had peace of mind since delegating my PAYE processing to Paystream. You are rest assured that they do not cut corners and align with HMRC rules.The customer service responses are very prompt and efficient. i particularly like Georgia who was very helpful in explaining to me the breakdown of tax calculations on my payslip.,5,Date of experience: 11 June 2024,11 Jun 2024
I Was in a contact with Mohammad and he…,I Was in a contact with Mohammad and he was very help and kind in his tone. Very appreciated answering and high level of professionalism.,5,Date of experience: 11 June 2024,11 Jun 2024
Emily was a star!,I’ve been using Paystream for years now and they’ve always been helpful. I had a difficult issue which Emily from the customer care team took care of and I’m very grateful for that. Thank you Emily :),5,Date of experience: 11 June 2024,11 Jun 2024
Had great help from Mohammad!,Date of experience: 11 June 2024,5,Date of experience: 11 June 2024,11 Jun 2024
Pay stream is a great company…,Pay stream is a great company and thank you to Jasam he was very informative and helpful,5,Date of experience: 07 June 2024,11 Jun 2024
Kele was fantastic,"Kele was fantastic - kind, pleasant and really useful with understanding how my holiday pay has worked and helped me with opting out and changing to accruing my holiday. Plus, helping me understand the impact on my weekly take home pay. Really appreciated and a great call.",5,Date of experience: 11 June 2024,11 Jun 2024
Great service any problem solved in a…,Great service any problem solved in a timely manner would definitely recommend,5,Date of experience: 05 June 2024,11 Jun 2024
Great customer service,"Great customer service, they respond immediately and provide good advice.",5,Date of experience: 10 June 2024,11 Jun 2024
great customer service,Date of experience: 11 June 2024,5,Date of experience: 11 June 2024,11 Jun 2024
"Fast help, unobtrusive questions, problem solved",Needed help with a timesheet problem. Call was answered quickly and helpfully by a human.,5,Date of experience: 10 June 2024,11 Jun 2024
Good Friendly Service,I received a pro-active call and email from Nicola at PaymentSense which was very helpful and great customer service.Everything was explained to me and made me feel very comfortable about the working relationship going forward.,5,Date of experience: 11 June 2024,11 Jun 2024
I always receive prompt and clear…,I always receive prompt and clear responses to my questions whenever I contact the Paystream team,5,Date of experience: 11 June 2024,11 Jun 2024
Good feedback on contact,Good feedback on contact. The setup was quick.,4,Date of experience: 11 June 2024,11 Jun 2024
Excellent service,"The call was answered promptly. Bradley introduced himself, listened to my query and guided me to the answers I needed. He was experienced, informative and really helpful in identifying what steps I needed to take next to set up my salary sacrifice pension. So glad I called! Thanks Bradley!",5,Date of experience: 10 June 2024,10 Jun 2024
Response,"A prompt response, dealing with my query",4,Date of experience: 10 June 2024,10 Jun 2024
Quick and very helpful support,Quick and very helpful support,5,Date of experience: 10 June 2024,10 Jun 2024
Great service,"Great service, highly recommend. Had no issues with them",5,Date of experience: 05 June 2024,10 Jun 2024
Really proactive …,Really proactive and made the process very simple.,5,Date of experience: 10 June 2024,10 Jun 2024
I wanted to send a quick message to…,I wanted to send a quick message to express my immense gratitude for the amazing customer support by paystream. The customer support rep Helya  assistance and expertise has been outstanding.,5,Date of experience: 10 June 2024,10 Jun 2024
Made the mistake of getting a quote…,"Made the mistake of getting a quote amongst others. I’ve been harassed and hounded for days by way of emails, phone calls, text messages. They really go hard to try and make you sign up which immediately makes me suspicious. Intimidating and aggressive sales by Emma",1,Date of experience: 10 June 2024,10 Jun 2024
Jordan is a star!,Jordan is a star!! He’s brilliant on the phone and deserves a raise for sure. I’m an experienced contractor and his service was wonderful from start to finish. Highly recommend PayStream to anyone looking for a really decent Umbrella.,5,Date of experience: 10 June 2024,10 Jun 2024
To the point guidance.,To the point guidance.Many thanks.,5,Date of experience: 10 June 2024,10 Jun 2024
Great service and held,"Great service and held. Never had any issues, great transparency throughout.",5,Date of experience: 10 June 2024,10 Jun 2024
Thanks to Bradley.,Thanks to Bradley for his clarification on all my questions about my payslips. Great job!,4,Date of experience: 06 June 2024,10 Jun 2024
A very good umbrella contractor payroll provider,A very good umbrella contractor payroll provider. I can always get through to them on the telephone with any issues and they always resolve for me. I would highly recommend them.,5,Date of experience: 07 June 2024,10 Jun 2024
Tbh they are decent,Tbh they are decentPay quickly and like are nice to deal with,5,Date of experience: 07 June 2024,10 Jun 2024
Great customer service,Great customer service. Responsive & Proper communication. Ill be happy to go through them again,5,Date of experience: 04 June 2024,9 Jun 2024
Always helpful and best customer…,Always helpful and best customer service.,5,Date of experience: 05 June 2024,8 Jun 2024
Would use it again.,No issues & good support.I would highly recommend.,5,Date of experience: 05 June 2024,8 Jun 2024
As someone who is suspicious of these…,As someone who is suspicious of these umbrella companies I found this company to be very good in terms of transparency and customer service,5,Date of experience: 05 June 2024,8 Jun 2024
Excellent and professional team.,Excellent and professional team.,5,Date of experience: 07 June 2024,8 Jun 2024
Trustworthy and reliable.,"No fuss, not overbearing. Simply did what they said they were going to do.",5,Date of experience: 05 June 2024,8 Jun 2024
I never have a problem,Everytingh ok never have a problem thx,5,Date of experience: 05 June 2024,8 Jun 2024
Great service,Date of experience: 05 June 2024,5,Date of experience: 05 June 2024,8 Jun 2024
Punctual and straightforward,Good timely service delivered to me as a Contractor with no delays in salary payments.,5,Date of experience: 05 June 2024,8 Jun 2024
No issues at all,"No issues at all, all interactions were helpful & friendly",4,Date of experience: 04 June 2024,7 Jun 2024
Very helpful Umbrella company,"Nicola was very helpful, answered my questions and explained the things I needed her to.",5,Date of experience: 07 June 2024,7 Jun 2024
Warm and friendly staff always …,Warm and friendly staff always  friendly  and helpful,5,Date of experience: 07 June 2024,7 Jun 2024
Daniel was excellent throughout,Daniel was excellent throughout. Full marks 👍🏽👏🏽,5,Date of experience: 07 June 2024,7 Jun 2024
Helpful and professional,"Helpful, professional and personable. Dealing with pay stream customer service has always been great.",5,Date of experience: 07 June 2024,7 Jun 2024
Very happy,Very happy with the service,5,Date of experience: 04 June 2024,7 Jun 2024
Excellent service,Excellent service with no hassle,5,Date of experience: 04 June 2024,7 Jun 2024
Getting back with information and polite,Date of experience: 07 June 2024,5,Date of experience: 07 June 2024,7 Jun 2024
Pay Stream Review,"Very helpful in helping me begin my new role. Instructions and communication has been great, and the staff I have spoken to have been very supportive in getting me started with Pay Stream, specifically Helya & Mo!",5,Date of experience: 07 June 2024,7 Jun 2024
Unable to process expenses correctly,"Unable to process expenses correctly. Even after calling up multiple times to check they have everything they need and ill be paid in time, they seem to mess this up. I wasn't going to do this review but since another Friday has come around and they have been messed up again.. here it is",1,Date of experience: 07 June 2024,7 Jun 2024
You've excelled ! Give yourselves a pat on the back.,"Ever since I was onboarded by the PayStream team, it has been a trouble free experience. Any query I had was answered professionally and handled with excellent customer care.",5,Date of experience: 07 June 2024,7 Jun 2024
Excellent customer service,Theo helped me with my queries regarding timesheets and invoices. He provided all the information needed and managed to resolved the situation quickly.,5,Date of experience: 06 June 2024,7 Jun 2024
